id,title,artist,year,medium,era,political_context,institution,subject_matter,gender_of_artist,race_ethnicity_of_artist,political_impact_rating,historical_event_depicted_or_influenced,themes,significance,source_used,notes
18,Destroy This Mad Brute (WWI recruitment poster),H.R. Hopps,1917,Lithograph poster,20th Century,WWI anti-German propaganda,Library of Congress,Gorilla with spiked helmet carrying a woman labeled 'Europe'; clubs labeled 'Kultur',Male,White,4/5,US entry into WWI; anti-German propaganda,"Dehumanization; war propaganda; racial/bestial imagery; fear","Exemplifies WWI propaganda's use of racist dehumanization; shaped American public opinion toward entering the war","Library of Congress catalog",""
19,Migrant Mother,Dorothea Lange,1936,Gelatin silver photograph,20th Century,Great Depression; FSA documentary program,Library of Congress,"Florence Owens Thompson with children; worry; hunger",Female,White,5/5,Great Depression; New Deal Farm Security Administration,"Poverty; motherhood; documentary ethics; government intervention","Commissioned by the FSA to build political support for New Deal relief programs; became the defining image of the Depression; subject Florence Owens Thompson was later identified as Oklahoman of Cherokee descent","Library of Congress catalog","Lange never paid Thompson; Thompson later said she wished the photo had never been taken — raises ethics of documentary photography"
20,We Can Do It! (Rosie the Riveter),J. Howard Miller,1943,Lithograph poster,20th Century,WWII homefront; women in wartime labor,National Archives,Woman in polka-dot bandana flexing bicep,Male,White,5/5,WWII homefront mobilization; women entering workforce,"Women's labor; wartime gender shift; female strength; later feminist icon","Originally an internal Westinghouse factory poster; rediscovered in 1980s and became feminist icon; its meaning transformed entirely from wartime morale to women's liberation","National Archives catalog","The 'Rosie' identity attached to this image retroactively; Norman Rockwell's Saturday Evening Post Rosie is a different image"
21,Saturday Evening Post Rosie the Riveter,Norman Rockwell,1943,Oil on canvas (magazine cover),20th Century,WWII homefront,Norman Rockwell Museum,Muscular woman in overalls eating lunch; foot on Mein Kampf,Male,White,4/5,WWII homefront; women's labor,"Female power; wartime patriotism; working class; anti-fascism","Rockwell's Rosie was more explicitly political than the Miller poster — her foot resting on Hitler's book makes the ideological stakes clear","Norman Rockwell Museum catalog","Now often overshadowed by the Miller poster but considered more artistically complex"
22,Executive Order 9066 visual record — Dorothea Lange's Japanese internment photographs,Dorothea Lange,1942,Gelatin silver photographs,20th Century,Japanese American internment; WWII,National Archives / Bancroft Library,Japanese Americans being evacuated; families with luggage tags; Manzanar,Female,White,5/5,Executive Order 9066; Japanese American internment (1942),"Civil liberties; racial targeting; government power; documentary witness","The Army confiscated Lange's negatives for the duration of the war because they were too damning; released after WWII as evidence of the policy's human cost","National Archives / Bancroft Library","Government censorship of these images is itself part of their political history"
23,No Japs Allowed (signage documentation),Various documentary photographers,1940s,Photograph,20th Century,Japanese American exclusion,National Archives,Signs barring Japanese Americans from businesses and neighborhoods,Multiple,Multiple,4/5,Japanese American internment; racial exclusion,"Racial segregation; civil rights; property rights; systemic exclusion","Photographic documentation of exclusion signs became evidence in postwar and redress debates; visualized the texture of institutionalized racism","National Archives catalog","Documentary evidence category"
24,Four Freedoms series (Freedom of Speech),Norman Rockwell,1943,Oil on canvas (Saturday Evening Post),20th Century,WWII; FDR's Four Freedoms speech,Norman Rockwell Museum,Working man standing to speak at a town meeting,Male,White,5/5,FDR's Four Freedoms speech (1941); WWII ideological framing,"Freedom of speech; democratic participation; American ideals; wartime morale","FDR's speech articulated war aims as universal freedoms; Rockwell's paintings became the most widely circulated illustrations of American democratic values in history","Norman Rockwell Museum catalog","The series raised over $132 million in war bonds"
25,Four Freedoms series (Freedom from Want),Norman Rockwell,1943,Oil on canvas (Saturday Evening Post),20th Century,WWII; American abundance vs. Axis scarcity,Norman Rockwell Museum,Family gathered at Thanksgiving table; grandmother serving turkey,Male,White,4/5,WWII homefront ideology; American prosperity narrative,"Abundance; family; American Dream; ideological warfare","Used to contrast American prosperity with Axis-dominated Europe; later critiqued for its exclusion of non-white families from its vision of 'American' abundance","Norman Rockwell Museum catalog",""
26,The Problem We All Live With,Norman Rockwell,1964,Oil on canvas,20th Century,Civil Rights Movement; school desegregation,Norman Rockwell Museum,Ruby Bridges escorted by US Marshals; racial slur on wall,Male,White,5/5,New Orleans school desegregation (1960); Civil Rights Act (1964),"Civil rights; childhood innocence; state protection; racial hatred","Published in Look magazine; Robert F. Kennedy hung it outside the Oval Office during a meeting with civil rights leaders; one of the most politically resonant American paintings of the 20th century","Norman Rockwell Museum catalog","Rockwell left the Saturday Evening Post specifically to paint civil rights subjects they refused to publish"
27,The Murder of Emmett Till (documentation and press photography),Various press photographers,1955,Press photographs,20th Century,Civil Rights Movement; anti-lynching,NAACP archives / Jet Magazine,Open casket showing Till's brutalized face,Multiple,Black/African American (Jet photographers),5/5,Murder of Emmett Till (1955); Civil Rights mobilization,"Lynching; racial terror; mother's choice; media as witness","Mamie Till insisted on an open casket and allowed Jet Magazine to publish the photographs; she said she wanted the world to see what they did to her son; the images directly catalyzed the Civil Rights Movement","Jet Magazine archive / NAACP archive","The decision to publish is one of the most consequential editorial choices in American media history"
28,I Have a Dream (documentary photography),Flip Schulke / Bob Adelman / various,1963,Press photographs,20th Century,Civil Rights Movement; March on Washington,Library of Congress / various,MLK at podium; crowd at the National Mall,Male,Black/African American (King); various (photographers),4/5,March on Washington (1963),"Civil rights; oratory; mass movement; visual documentation","The photographs of the March on Washington — the crowd's scale, the reflecting pool, King at the podium — created the enduring visual record of the movement's peak moment","Library of Congress catalog","Photographic documentation as political artifact"
29,Black Power salute (1968 Olympics photograph),John Dominis (Life Magazine),1968,Press photograph,20th Century,Black Power Movement; Olympic protest,Life Magazine archive / Getty,Tommie Smith and John Carlos raising fists on podium; Peter Norman in solidarity,Male,Black/African American (athletes); White Australian (Norman),5/5,Mexico City Olympics (1968); Black Power Movement,"Protest; Black Power; international solidarity; athletic platform","One of the most reproduced protest photographs in history; Smith and Carlos were suspended from the team; the image became the defining symbol of athlete political protest","Life Magazine archive / Getty Images","Peter Norman (the Australian) wore an Olympic Project for Human Rights badge in solidarity; he was ostracized in Australia"
30,Napalm Girl (The Terror of War),Nick Ut,1972,Press photograph,20th Century,Vietnam War; anti-war movement,AP Archive,Naked nine-year-old Kim Phuc running from napalm attack,Male,Vietnamese (AP photographer),5/5,Vietnam War; public opposition to US military intervention,"War's cost; civilian suffering; anti-war sentiment; press freedom","Won the Pulitzer Prize; credited with turning American public opinion against the Vietnam War; Nixon initially questioned whether it was staged","AP Archive","Kim Phuc survived; she and Ut have maintained a relationship for decades; the photo's publication over nudity objections was a landmark press freedom moment"
31,Execution of a Viet Cong Prisoner,Eddie Adams,1968,Press photograph,20th Century,Vietnam War; Tet Offensive,AP Archive,General Loan shooting prisoner in the head at point blank range,Male,White American (photographer),5/5,Tet Offensive (1968); Vietnam War public opinion shift,"Execution; war's reality; shock; moral ambiguity","Won the Pulitzer Prize; helped turn American public opinion on the war; Adams later said the photo destroyed Loan's life and expressed regret — raises questions of photographic context","AP Archive","Adams said: 'The general killed the Viet Cong; I killed the general with my camera'"
32,Vietnam Veterans Memorial,Maya Lin,1982,Black granite memorial wall,20th Century,Vietnam War memory; national healing,National Mall Washington DC,Reflective black wall with 58,318 names engraved,Female,Asian American (Chinese-American),5/5,Vietnam War; veterans' commemoration,"Memory; grief; democratic naming; healing vs. heroism","Lin's design was controversial — veterans' groups called it a 'black gash of shame'; it became the most visited memorial in Washington and transformed memorial design worldwide","National Mall records","Lin was 21 and a Yale architecture student when she won the competition; her race and gender were weaponized against her design"
33,AIDS Quilt (NAMES Project Memorial Quilt),Multiple makers,1987-ongoing,Fabric quilt panels,20th Century,AIDS crisis; LGBTQ+ rights,NAMES Project Foundation / National Mall,Panels for each AIDS victim; personal names; personal objects,Multiple,Multiple,5/5,AIDS crisis (1980s–1990s); LGBTQ+ rights movement,"Grief; LGBTQ+ visibility; political neglect; collective mourning","First displayed on the National Mall in 1987 with 1,920 panels; by 1992 it covered the entire Mall; made AIDS victims visible to a government that had ignored the epidemic for years","NAMES Project Foundation records","Now has over 50,000 panels; each one is a political act of naming the dead the government refused to count"
34,Silence = Death (ACT UP poster),Avram Finkelstein and collective,1987,Silkscreen poster,20th Century,AIDS crisis; LGBTQ+ political organizing,Various collections / ACT UP archive,Pink triangle on black; text: SILENCE = DEATH,Male,White (Jewish, gay),5/5,AIDS crisis; ACT UP direct action,"LGBTQ+ rights; government inaction; political urgency; visual activism","The pink triangle reclaimed a Nazi symbol (gay men in concentration camps) and redeployed it as a call to activism; became the visual language of AIDS activism globally","ACT UP archive","Designed by six gay men; the Silence = Death Project predated ACT UP; the poster was later adopted by ACT UP"
35,Guerrilla Girls posters (Do Women Have to Be Naked?),Guerrilla Girls,1989,Offset lithograph poster,Contemporary (1970s–present),Feminist activism; museum representation,Various collections,Nude woman with gorilla head; Metropolitan Museum statistics,Female (collective),Multiple,4/5,Feminist art movement; museum gatekeeping,"Gender inequality in art institutions; humor as protest; anonymity; institutional critique","The Guerrilla Girls used billboard and poster tactics to expose the Met's collection demographics (5% women artists, 85% female nudes); transformed how institutions discussed representation","Various collections","Collective used gorilla masks and dead female artists' names as pseudonyms to keep focus on statistics not personalities"
36,The Liberation of Aunt Jemima,Betye Saar,1972,Mixed media assemblage,Contemporary (1970s–present),Black Arts Movement; Black Power; feminist art,Berkeley Art Museum,Aunt Jemima figure holding rifle and grenade; raised fist,Female,Black/African American,5/5,Black Power Movement; Black Arts Movement,"Stereotype reclamation; Black Power; feminist critique; consumer racism","Saar transforms a racist advertising icon into a symbol of Black female resistance; landmark of Black feminist assemblage art; made during the most intense phase of Black Power","Berkeley Art Museum catalog",""
37,I Am a Man (sanitation workers' strike photograph),Ernest C. Withers,1968,Press photograph,20th Century,Civil Rights / Labor movement,Mississippi Valley Collection,Black sanitation workers in Memphis holding 'I Am a Man' signs,Male,Black/African American,5/5,Memphis sanitation strike (1968); MLK assassination,"Labor rights; racial dignity; civil rights; King's final campaign","King was assassinated in Memphis supporting this strike; the 'I Am a Man' signs directly challenged the dehumanization of Black workers; photograph became icon of labor-civil rights intersection","Various archives","Withers was later revealed to have also been an FBI informant — a profound complication to his legacy as a civil rights photographer"
38,Bloody Sunday photographs (Selma),various press photographers,1965,Press photographs,20th Century,Civil Rights Movement; Voting Rights Act,AP / various archives,State troopers attacking peaceful marchers on Edmund Pettus Bridge,Multiple,Multiple (photographers),5/5,Bloody Sunday (March 7 1965); Voting Rights Act (1965),"Voting rights; state violence; nonviolent resistance; media witness","ABC interrupted Judgment at Nuremberg to broadcast footage; the juxtaposition of Nazi atrocity and American state violence shocked the nation; LBJ introduced the Voting Rights Act 8 days later","AP archive","The visual parallel of Nazi and American state violence was unplanned but devastating"
39,Wounded Knee occupation photographs,various documentary photographers,1973,Press photographs,Contemporary (1970s–present),American Indian Movement; Indigenous rights,National Archives / AP,AIM members at Wounded Knee; armed standoff with federal marshals,Multiple,Multiple,4/5,Wounded Knee occupation (1973); AIM; Indigenous rights movement,"Indigenous sovereignty; treaty rights; occupation; media strategy","AIM chose Wounded Knee (site of the 1890 massacre) deliberately; the 71-day occupation and its photographs forced national conversation on treaty rights and Indigenous sovereignty","AP / National Archives","Photography as media strategy by AIM; they understood the power of the site's symbolism"
40,Times Up and MeToo visual movement (Tarana Burke / protest imagery),Various artists/photographers,2017-2018,Mixed media (posters; social media; protest art),Contemporary (1970s–present),MeToo movement; sexual harassment accountability,Various,Women in black at Golden Globes; protest signs; survivor portraits,Multiple,Multiple,4/5,MeToo movement (2017); Times Up,"Women's rights; sexual violence; accountability; collective action","The visual culture of MeToo — black dresses at award shows, protest signs, social media graphics — constitutes a political art movement using image to shift cultural power","Various archives","Tarana Burke founded MeToo in 2006; the movement's 2017 viral moment was amplified by visual solidarity actions"
41,Hope (Obama campaign poster),Shepard Fairey,2008,Stencil/screen print,Contemporary (1970s–present),2008 presidential election,Various collections / Smithsonian,Barack Obama in red/blue/beige; word HOPE below,Male,White,5/5,2008 presidential election; Barack Obama campaign,"Electoral politics; visual identity; grassroots art; image as campaign tool","Became the defining image of the 2008 Obama campaign and one of the most reproduced political artworks in American history; later entangled in copyright controversy over the AP source photograph","Smithsonian / various","Fairey settled with the AP over the source photograph; the case became landmark in copyright and political art"
42,Portrait of Barack Obama,Kehinde Wiley,2018,Oil on canvas,Contemporary (1970s–present),First Black president; official portraiture,National Portrait Gallery,Obama seated amid flowering plants,Male,Black/African American,5/5,Obama presidency; representation in American institutions,"Black representation; presidential canon; art historical revisionism","First presidential portrait by a Black artist in the National Portrait Gallery; transformed a 200-year tradition of white male official portraiture; the floral background references power and non-Western aesthetic traditions","National Portrait Gallery catalog",""
43,Portrait of Michelle Obama,Amy Sherald,2018,Oil on canvas,Contemporary (1970s–present),First Black First Lady; official portraiture,National Portrait Gallery,Michelle Obama in billowing pale blue dress,Female,Black/African American,5/5,Obama presidency; representation in American institutions,"Black womanhood; dignity; portraiture history; grisaille skin","First Black woman to paint an official White House portrait; Sherald's use of grisaille (gray) skin tones makes Blackness a category rather than a color — a deliberate philosophical statement","National Portrait Gallery catalog",""
44,Untitled (I Can't Breathe),Kara Walker / community murals (multiple artists),2014-2020,Various (mural; print; installation),Contemporary (1970s–present),Black Lives Matter; police violence,Various,Text; George Floyd; Eric Garner; protest imagery,Multiple,Multiple (predominantly Black artists),5/5,Deaths of Eric Garner (2014) and George Floyd (2020); BLM movement,"Police violence; racial justice; mourning; protest art","The phrase 'I Can't Breathe' became a visual and political refrain across murals, prints, and protest signs nationally; BLM visual culture constitutes one of the largest grassroots art movements in American history","Various","Umbrella entry for BLM visual culture; specific works could be disaggregated"
45,George Floyd Memorial Mural (Minneapolis),Xena Goldman / Cadex Herrera / Greta McLain,2020,Street mural,Contemporary (1970s–present),George Floyd murder; BLM movement,38th and Chicago Ave Minneapolis,George Floyd portrait; flowers; 'I Can't Breathe',Multiple,Multiple (Black and allied artists),5/5,Murder of George Floyd (2020); BLM global protests,"Mourning; public space; community memorial; protest","The mural at the site of Floyd's murder became a global pilgrimage site; its imagery was reproduced on every continent; demonstrates how street art became the primary visual language of contemporary political protest","Public record","Site became known as George Floyd Square; the mural has been repainted and maintained by the community"
46,The Dinner Party,Judy Chicago,1974-1979,Mixed media ceramic/textile installation,Contemporary (1970s–present),Second-wave feminism; women's history,Brooklyn Museum,"Triangular table; 39 place settings for historical women; 999 names on floor",Female,White (Jewish-American),5/5,Second-wave feminism; women's history movement,"Women's history; craft as fine art; feminist canon-making; sexual iconography","The most politically programmatic major artwork of second-wave feminism; forced art institutions to grapple with what 'women's history' means and who gets commemorated; rejected by multiple museums before Brooklyn","Brooklyn Museum catalog","The explicit vulvar imagery on place settings caused significant controversy; several universities refused to house it"
47,Your Body Is a Battleground,Barbara Kruger,1989,Photographic silkscreen,Contemporary (1970s–present),Abortion rights; Roe v. Wade context,Broad Museum,Split positive/negative female face; text overlay,Female,White,5/5,1989 reproductive rights march on Washington; Roe v. Wade,"Reproductive rights; female body as political site; advertising aesthetics","Created specifically for the April 1989 march in Washington for reproductive rights; its advertising aesthetic made it reproducible across protest contexts; text treats the female body as contested political territory","Broad Museum catalog",""
48,Chicano Park Murals (San Diego),Various Chicano artists,1970-ongoing,Exterior murals on freeway pylons,Contemporary (1970s–present),Chicano movement; community displacement,Chicano Park San Diego CA,"Aztec imagery; labor history; Cesar Chavez; Brown Berets; community history",Multiple,Chicano/Latino,4/5,Chicano movement (1969–1970s); community organizing against urban renewal,"Chicano identity; labor rights; Indigenous heritage; community resistance","Created after activists occupied land slated for a highway patrol parking lot; the murals transformed freeway infrastructure into the most important outdoor Chicano art site in the US","City of San Diego / Chicano Park Steering Committee records","National Historic Landmark since 2016; still being painted"
49,Migrant farmworker photographs (Cesar Chavez / UFW),various (including Jon Lewis),1960s-1970s,Press and documentary photographs,Contemporary (1970s–present),United Farm Workers; labor rights; Chicano movement,Walter P. Reuther Library / various,Farmworkers; picket lines; Cesar Chavez; grape boycott,Multiple,Multiple (Chicano and allied),4/5,United Farm Workers strikes (1965–1970); grape and lettuce boycotts,"Labor rights; immigration; dignity; nonviolent protest","The visual documentation of UFW campaigns — picket lines, the black eagle flag, hunger strikes — built national support for the boycott; photographs put faces on the hidden labor of food production","Walter P. Reuther Library",""
50,Piss Christ,Andres Serrano,1987,Cibachrome photograph,Contemporary (1970s–present),Culture wars; First Amendment; NEA funding debate,Various collections,Crucifix submerged in artist's urine; amber glow,Male,Black/Afro-Latino (Cuban-American),4/5,NEA culture wars (1989–1990); First Amendment debate,"Religious freedom; government arts funding; censorship; sacred vs. profane","Senator Jesse Helms used the work to argue against NEA funding; it became the flashpoint of the 1980s–90s culture wars over government arts funding and free expression; the work itself barely changed — the political controversy is the history","Various collections","The photograph was physically attacked in France in 2011 by Christian fundamentalists"
51,The Two Undiscovered Amerindians,Coco Fusco and Guillermo Gómez-Peña,1992,Performance/photography,Contemporary (1970s–present),Columbus quincentenary; Indigenous rights; colonial gaze,Various documentation,"Two artists in cage, presented as 'undiscovered' Indigenous people from a fictional island",Female / Male,Latina / Latino (Cuban / Mexican-American),5/5,Columbus quincentenary (1992); Indigenous rights discourse,"Colonial gaze; museum complicity; performative critique; Indigenous dehumanization","Performed in museums worldwide; many audience members believed the performers were real; the performance exposed audiences' willingness to accept the dehumanizing display of non-white bodies as natural","Various documentation","The discomfort of audiences who didn't realize it was performance is itself the political data"
52,We Are All Suspects (post-9/11 visual culture),Various artists / designers,2001-2003,Posters; street art; digital,Contemporary (1970s–present),Post-9/11 surveillance; Patriot Act; racial profiling,Various,"Surveillance cameras; Muslim figures; airport security imagery",Multiple,Multiple,4/5,September 11 attacks (2001); Patriot Act; War on Terror,"Civil liberties; Islamophobia; surveillance state; racial profiling","Post-9/11 visual culture — posters, murals, street art, protest graphics — documented and contested the rapid expansion of surveillance and the targeting of Muslim Americans","Various archives","Umbrella entry for post-9/11 political visual culture"
53,Homeland Security Blanket,Nicholas Galanin,2019,Woven blanket,Contemporary (1970s–present),Indigenous rights; border security; settler colonialism,Various,Thermal emergency blanket design woven in Tlingit style with 'HOMELAND SECURITY' text,Male,Tlingit / Unangan (Indigenous),5/5,US immigration detention; Indigenous sovereignty; border politics,"Settler colonialism; immigration; Indigenous land; historical irony","Galanin weaves the mylar emergency blankets used to wrap detained migrants (including Indigenous migrants) in traditional Tlingit weaving patterns; the phrase 'Homeland Security' applied to Indigenous art inverts its entire meaning","Various collections","One of the most conceptually precise political artworks of the contemporary period"
54,Ghost Army visual deception program,Ghost Army soldiers / artists,1944,Inflatable tanks; sound deception; visual camouflage,20th Century,WWII military strategy; art in service of war,National Archives / Ghost Army Legacy Project,"Inflatable Sherman tanks; fake unit insignia; deceptive radio traffic",Male,White (mostly),4/5,WWII European theater; Operation Fortitude,"Art and war; deception; visual illusion; classified history","The Ghost Army was largely composed of artists, designers, and creative professionals who used visual deception to fool the German army; classified for 40+ years; extraordinary story of artists as military strategists","National Archives / Ghost Army Legacy Project","Congress awarded the Ghost Army the Congressional Gold Medal in 2022"
55,The Trail of Tears (painting series),Robert Lindneux,1942,Oil on canvas,20th Century,Indian Removal retrospective,Woolaroc Museum Oklahoma,Thousands of Cherokee marching; soldiers; winter,Male,White,3/5,Indian Removal Act (1830); Trail of Tears,"Indigenous displacement; genocide; forced march","Painted a century after the event; became the standard visual reference for the Trail of Tears in textbooks; its retrospective nature raises questions of who gets to visualize others' trauma","Woolaroc Museum catalog","The most widely reproduced Trail of Tears image despite being painted 112 years after the event by a white artist"
